Carrera/Titulación,Carrera Gestional,Especialidad,Vacante,Avance,Semestres Totales,Evaluados Si/No,Altamente Recomendado,Operaciones-Calidad,MTTO-DIMA,Comercial-Planeamiento,DIGI-SC,Resto-Soft,Actividad Grupal.1,Ingles,Destacado,Ingresados Si/No,Apto,Apto suma
Ing. Química,Ing. Química,Ingenierías Target,Practicante,6,10.0,1,0,0,1,0,1,0,0,1,0,0,1,3
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,6,10.0,1,1,1,2,0,0,0,2,2,0,0,2,8
Ing. Química,Ing. Química,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,5,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Practicante,5,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,5,10.0,1,1,0,2,0,1,1,0,1,0,0,2,5
Ing. Química,Ing. Química,Ingenierías Target,Practicante,6,10.0,1,1,1,2,0,1,0,5,2,1,1,2,12
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,7,10.0,1,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Practicante,8,10.0,1,0,0,0,0,1,1,0,1,0,0,1,2
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Ambiental,Ing. Ambiental,Otras Ingenierías,Practicante,6,10.0,1,1,0,0,2,0,0,0,1,0,0,2,4
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Practicante,6,10.0,1,1,0,2,0,2,0,0,1,0,0,2,6
Ing. Química,Ing. Química,Ingenierías Target,Practicante,8,10.0,1,0,0,0,0,1,1,0,1,0,0,1,2
Ing. Química,Ing. Química,Ingenierías Target,Profesional,9,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,5,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Practicante,5,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,5,10.0,1,0,0,1,0,0,2,0,1,0,0,1,2
Ing. Química,Ing. Química,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Practicante,8,10.0,1,0,0,1,0,0,2,0,1,0,0,1,2
Ing. Química,Ing. Química,Ingenierías Target,Practicante,5,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,5,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,5,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Profesional,10,10.0,1,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Practicante,7,10.0,1,1,0,2,0,0,1,3,2,0,0,2,8
Ing. Industrial,Ing. Industrial,Ingenierías Target,Profesional,9,10.0,1,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,8,10.0,1,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,7,10.0,1,1,0,2,0,0,2,0,1,0,0,2,4
Administración,Administración,Negocios,Practicante,5,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Comunicación Social,Comunicación,Otras,Practicante,5,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Negocios Internacionales,Negocios Internacionales,Negocios,Practicante,8,10.0,1,1,0,2,1,0,1,0,1,0,0,2,5
Economía,Economía/Finanzas,Negocios,Profesional,8,9.0,1,1,0,2,0,0,2,4,2,1,1,2,9
Ing. Química,Ing. Química,Ingenierías Target,Profesional,8,9.0,1,1,0,2,0,0,1,2,1,0,0,2,6
Ing. Química,Ing. Química,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Administración,Administración,Negocios,Practicante,6,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Profesional,8,9.0,1,0,0,0,0,0,2,0,1,0,0,1,1
Negocios Internacionales,Negocios Internacionales,Negocios,Practicante,5,9.0,1,0,0,0,0,0,2,0,1,0,0,1,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,5,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Comunicación Social,Comunicación,Otras,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Mercadotecnia ,Mercadotecnia,Otras,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Finanzas,Economía/Finanzas,Negocios,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Comercio Exterior,Negocios Internacionales,Negocios,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Profesional,13,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,13,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Profesional,13,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Comunicación Social,Comunicación,Otras,Profesional,13,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Civil,Ing. Civil,Otras Ingenierías,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Civil,Ing. Civil,Otras Ingenierías,Profesional,10,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Civil,Ing. Civil,Otras Ingenierías,Profesional,10,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Civil,Ing. Civil,Otras Ingenierías,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Civil,Ing. Civil,Otras Ingenierías,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Civil,Ing. Civil,Otras Ingenierías,Profesional,10,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Civil,Ing. Civil,Otras Ingenierías,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Civil,Ing. Civil,Otras Ingenierías,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Civil,Ing. Civil,Otras Ingenierías,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Civil,Ing. Civil,Otras Ingenierías,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Innovación y Desarrollo,Ing. Innovación y Desarrollo,Otras Ingenierías,Practicante,6,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,6,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,6,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,6,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,6,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,6,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Desarrollo Sustentable,Ing. Desarrollo Sustentable,Otras Ingenierías,Profesional,9,9.0,1,1,0,2,0,0,0,0,1,0,0,2,4
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Derecho,Derecho/Ciencias Políticas,Negocios,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Derecho,Derecho/Ciencias Políticas,Negocios,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Derecho,Derecho/Ciencias Políticas,Negocios,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Derecho,Derecho/Ciencias Políticas,Negocios,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Gestión Empresarial,Ing. Gestión Empresarial,Otras Ingenierías,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Gestión Empresarial,Ing. Gestión Empresarial,Otras Ingenierías,Practicante,6,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,5,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Gestión Empresarial,Ing. Gestión Empresarial,Otras Ingenierías,Practicante,6,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Administración de Sistemas,Ing. Tecnologías Computacionales,Tecnologías de Información,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,8,10.0,1,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,8,10.0,1,0,1,1,0,1,0,0,1,0,0,1,4
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,6,10.0,1,1,0,0,2,0,0,0,1,0,0,2,4
Ing. Electrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,7,10.0,1,1,1,2,0,0,0,0,1,0,0,2,5
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,9,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,5,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,9,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Administración de Sistemas,Ing. Tecnologías Computacionales,Tecnologías de Información,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,7,10.0,1,1,0,2,0,1,0,0,2,0,0,2,6
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,8,10.0,1,1,2,2,0,1,0,0,1,0,0,2,7
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,9,10.0,1,0,1,1,0,1,0,0,1,0,0,1,4
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,10,10.0,1,1,2,2,0,0,1,2,2,0,0,2,9
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,7,10.0,1,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Administración de Sistemas,Ing. Tecnologías Computacionales,Tecnologías de Información,Profesional,9,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Electrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,9,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Materiales,Ing. Materiales,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Manufactura,Ing. Manufactura,Otras Ingenierías,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,9,10.0,1,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,9,10.0,1,1,0,0,2,0,0,0,1,0,0,2,4
Ing. Electrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,10,10.0,1,1,2,1,2,1,0,0,1,0,0,2,8
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,6,10.0,1,1,1,2,1,1,2,0,1,0,0,2,7
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,9,10.0,1,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Tecnologia de Software,Ing. Tecnologías Computacionales,Tecnologías de Información,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Manufactura,Ing. Manufactura,Otras Ingenierías,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Electrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,6,10.0,1,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,10,10.0,1,1,0,2,2,2,1,0,1,0,0,2,8
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Administración de Sistemas,Ing. Tecnologías Computacionales,Tecnologías de Información,Profesional,9,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Administración de Sistemas,Ing. Tecnologías Computacionales,Tecnologías de Información,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Administración de Sistemas,Ing. Tecnologías Computacionales,Tecnologías de Información,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Manufactura,Ing. Manufactura,Otras Ingenierías,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Materiales,Ing. Materiales,Ingenierías Target,Profesional,9,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Manufactura,Ing. Manufactura,Otras Ingenierías,Practicante,5,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Administración de Sistemas,Ing. Tecnologías Computacionales,Tecnologías de Información,Practicante,7,10.0,1,1,0,2,0,1,0,4,2,1,1,2,10
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,9,10.0,1,1,0,2,0,0,0,0,1,0,0,2,4
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Manufactura,Ing. Manufactura,Otras Ingenierías,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Administración de Sistemas,Ing. Tecnologías Computacionales,Tecnologías de Información,Practicante,8,10.0,1,0,0,0,0,0,1,0,1,0,0,0,1
Ing. Materiales,Ing. Materiales,Ingenierías Target,Practicante,6,10.0,1,1,0,2,0,0,0,0,1,0,0,2,4
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,5,10.0,1,1,0,2,0,2,0,0,1,0,0,2,6
Ing. Tecnologia de Software,Ing. Tecnologías Computacionales,Tecnologías de Información,Profesional,9,10.0,1,1,0,2,0,0,2,0,1,0,0,2,4
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Física,Ing. Física,Ingenierías Target,Practicante,8,10.0,1,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,10,10.0,1,0,0,1,0,0,0,0,1,0,0,1,2
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Administración de Sistemas,Ing. Tecnologías Computacionales,Tecnologías de Información,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Materiales,Ing. Materiales,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Materiales,Ing. Materiales,Ingenierías Target,Profesional,10,10.0,1,1,2,0,0,0,0,0,1,0,0,2,4
Ing. Electrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,8,10.0,1,1,0,2,1,0,0,0,1,0,0,2,5
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,5,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,9,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,7,10.0,1,1,0,1,2,2,0,0,1,0,0,2,7
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,5,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,5,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,8,10.0,1,1,2,1,0,1,2,0,1,0,0,2,6
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,9,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,6,10.0,1,0,0,1,0,0,0,0,1,0,0,1,2
Ing. Tecnologia de Software,Ing. Tecnologías Computacionales,Tecnologías de Información,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,9,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Manufactura,Ing. Manufactura,Otras Ingenierías,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Administración de Sistemas,Ing. Tecnologías Computacionales,Tecnologías de Información,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Materiales,Ing. Materiales,Ingenierías Target,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Administración de Sistemas,Ing. Tecnologías Computacionales,Tecnologías de Información,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Electrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,9,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Administración de Sistemas,Ing. Tecnologías Computacionales,Tecnologías de Información,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,5,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Manufactura,Ing. Manufactura,Otras Ingenierías,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,9,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,5,10.0,1,0,1,0,0,0,0,0,1,0,0,1,2
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,8,10.0,1,1,0,2,0,0,1,0,1,0,0,2,4
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Manufactura,Ing. Manufactura,Otras Ingenierías,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Materiales,Ing. Materiales,Ingenierías Target,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
